im_name,gt_name
Images/training/IDRiD_01.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_01_OD.tif
Images/training/IDRiD_02.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_02_OD.tif
Images/training/IDRiD_03.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_03_OD.tif
Images/training/IDRiD_04.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_04_OD.tif
Images/training/IDRiD_05.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_05_OD.tif
Images/training/IDRiD_06.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_06_OD.tif
Images/training/IDRiD_07.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_07_OD.tif
Images/training/IDRiD_08.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_08_OD.tif
Images/training/IDRiD_09.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_09_OD.tif
Images/training/IDRiD_10.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_10_OD.tif
Images/training/IDRiD_11.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_11_OD.tif
Images/training/IDRiD_12.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_12_OD.tif
Images/training/IDRiD_13.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_13_OD.tif
Images/training/IDRiD_14.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_14_OD.tif
Images/training/IDRiD_15.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_15_OD.tif
Images/training/IDRiD_16.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_16_OD.tif
Images/training/IDRiD_17.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_17_OD.tif
Images/training/IDRiD_18.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_18_OD.tif
Images/training/IDRiD_19.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_19_OD.tif
Images/training/IDRiD_20.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_20_OD.tif
Images/training/IDRiD_21.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_21_OD.tif
Images/training/IDRiD_22.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_22_OD.tif
Images/training/IDRiD_23.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_23_OD.tif
Images/training/IDRiD_24.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_24_OD.tif
Images/training/IDRiD_25.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_25_OD.tif
Images/training/IDRiD_26.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_26_OD.tif
Images/training/IDRiD_27.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_27_OD.tif
Images/training/IDRiD_28.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_28_OD.tif
Images/training/IDRiD_29.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_29_OD.tif
Images/training/IDRiD_30.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_30_OD.tif
Images/training/IDRiD_31.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_31_OD.tif
Images/training/IDRiD_32.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_32_OD.tif
Images/training/IDRiD_33.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_33_OD.tif
Images/training/IDRiD_34.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_34_OD.tif
Images/training/IDRiD_35.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_35_OD.tif
Images/training/IDRiD_36.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_36_OD.tif
Images/training/IDRiD_37.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_37_OD.tif
Images/training/IDRiD_38.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_38_OD.tif
Images/training/IDRiD_39.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_39_OD.tif
Images/training/IDRiD_40.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_40_OD.tif
Images/training/IDRiD_41.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_41_OD.tif
Images/training/IDRiD_42.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_42_OD.tif
Images/training/IDRiD_43.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_43_OD.tif
Images/training/IDRiD_44.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_44_OD.tif
Images/training/IDRiD_45.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_45_OD.tif
Images/training/IDRiD_46.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_46_OD.tif
Images/training/IDRiD_47.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_47_OD.tif
Images/training/IDRiD_48.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_48_OD.tif
Images/training/IDRiD_49.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_49_OD.tif
Images/training/IDRiD_50.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_50_OD.tif
Images/training/IDRiD_51.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_51_OD.tif
Images/training/IDRiD_52.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_52_OD.tif
Images/training/IDRiD_53.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_53_OD.tif
Images/training/IDRiD_54.jpg,Groundtruths/training/5_Optic_Disc/IDRiD_54_OD.tif
